;Pred_type;Depth;if (...) NULL;Footprint;n;;RMSE;;MAE;;MSE;;AVE;;R2;;Spearman;;Pearson;
1;Pred_20m_map;obs_02;P2;20;145;145;0,10;0,09;0,08;0,08;0,01;0,01;0,05;-0,06;0,14;0,13;0,34;0,33;0,38;0,36
2;Pred_20;obs_02;P2;20;505;505;0,09;0,08;0,08;0,07;0,01;0,01;0,01;-0,10;0,16;0,16;0,41;0,41;0,40;0,40
3;Pred_50;obs_02;P2;50;505;505;0,09;0,08;0,08;0,07;0,01;0,01;0,04;-0,07;0,18;0,17;0,43;0,42;0,42;0,41
4;Pred_100;obs_02;P2;100;521;521;0,10;0,09;0,08;0,08;0,01;0,01;-0,12;-0,31;0,15;0,15;0,45;0,44;0,39;0,38
5;Pred_200;obs_02;P2;200;551;551;0,09;0,09;0,08;0,08;0,01;0,01;-0,01;-0,20;0,27;0,28;0,56;0,57;0,52;0,53
6;Pred_500;obs_02;P2;500;591;591;0,09;0,09;0,08;0,07;0,01;0,01;-0,02;-0,05;0,03;0,02;0,16;0,13;0,17;0,14
7;Pred_20m_map;obs_05;P2;20;;;;;;;;;;;;;;;;
8;Pred_20;obs_05;P2;20;;;;;;;;;;;;;;;;
9;Pred_50;obs_05;P2;50;;;;;;;;;;;;;;;;
10;Pred_100;obs_05;P2;100;;;;;;;;;;;;;;;;
11;Pred_200;obs_05;P2;200;;;;;;;;;;;;;;;;
12;Pred_500;obs_05;P2;500;;;;;;;;;;;;;;;;
