;(Pred_type);;Depth;if (...) NULL;Footprint;n;;RMSE;;MAE;;MSE;;AVE;;R2;;Spearman;;Pearson;
1;Pred_20m_map;Pred_20m_map;obs_02;B2;20;122;122;0,18;0,18;0,17;0,16;0,03;0,03;-4,87;-7,15;0,08;0,06;0,26;0,21;0,28;0,24
2;Pred_20;Pred_20;obs_02;B2;20;208;208;0,12;0,12;0,10;0,10;0,02;0,01;-0,63;-1,28;0,01;0,00;0,11;0,02;0,10;0,01
3;Pred_50;Pred_50;obs_02;B2;50;208;208;0,11;0,10;0,09;0,09;0,01;0,01;-0,22;-0,61;0,08;0,05;0,29;0,22;0,29;0,22
4;Pred_100;Pred_100;obs_02;B2;100;208;208;0,12;0,12;0,10;0,10;0,01;0,01;-0,57;-1,17;0,08;0,08;0,32;0,27;0,29;0,28
5;Pred_200;Pred_200;obs_02;B2;200;236;236;0,11;0,11;0,09;0,09;0,01;0,01;-0,30;-0,71;0,14;0,08;0,40;0,31;0,37;0,29
6;Pred_500;Pred_500;obs_02;B2;500;357;357;0,14;0,14;0,12;0,12;0,02;0,02;-1,09;-1,71;0,07;0,04;0,25;0,22;0,27;0,21
7;;;obs_05;B2;20;;;;;;;;;;;;;;;;
8;;;obs_05;B2;20;;;;;;;;;;;;;;;;
9;;;obs_05;B2;50;;;;;;;;;;;;;;;;
10;;;obs_05;B2;100;;;;;;;;;;;;;;;;
11;;;obs_05;B2;200;;;;;;;;;;;;;;;;
12;;;obs_05;B2;500;;;;;;;;;;;;;;;;
